Estimated Population not on a Reticulated System or Stock Water Network

User,Est. Population,Factor (Ltrs/head/day),Est. Total Water Use (m3/day)
Humans*,28,1250.0,35.7176399231
Dairy Cattle,0,105.0,0.0
Beef Cattle,346,68.0,23.528
Sheep,1294,5.0,6.47
Deer,0,45.0,0.0
Pigs,0,17.0,0.0
Goats,0,8.0,0.0
Horses,0,83.0,0.0
Ostriches and Emus,0,0.0,0.0
Alpacas and Llamas,0,19.0,0.0
Poultry,0,0.45,0.0

Leakage,,,0.0

TOTAL,,,65.715637207

* Based on average property-population density of 2.381
Estimated Number of Properties (based on 2018 Census (Statistics NZ)) = 12
Estimated Stock Numbers based on data from Agribase (AsureQuality)
